Appendix,Scientific_Name
APPENDIX II,Aralia quinquefolia
APPENDIX II,Ginseng quinquefolium
APPENDIX II,Panax americanus
APPENDIX II,Panax americanus var. elatus
APPENDIX II,Panax americanus var. obovatus
APPENDIX II,Panax cuneatus
APPENDIX II,Panax quinquefolius var. americanus
APPENDIX II,Panax quinquefolius var. obovatus
APPENDIX II,Beaucamea spp. 
APPENDIX II,Podophyllum hexandrum
APPENDIX II,Dysosma emodi
APPENDIX II,Podophyllum emodi
APPENDIX II,Podophyllum emodi var. chinense
APPENDIX II,Podophyllum emodi var. hexandrum
APPENDIX II,Podophyllum hexandrum var. chinense
APPENDIX II,Podophyllum sikkimense
APPENDIX II,Sinopodophyllum emodi
APPENDIX II,Sinopodophyllum hexandrum
APPENDIX II,Sinopodophyllum hexandrum var. chinense
APPENDIX II,Sinopodophyllum hexandrum var. emodi
APPENDIX II,Tillandsia harrisii 
APPENDIX II,Tillandsia kammii 
APPENDIX II,Tillandsia xerographica
APPENDIX II,Tillandsia kruseana
APPENDIX II,Tillandsia tomasellii
APPENDIX II,Tillandsia xerographica
APPENDIX II,"CACTACEAE SPP.
(Except the species included in Appendix I and
except Pereskia spp .. Pereskiopsis spp. and Quiabentia spp.) "
APPENDIX II,Caryocar costaricens
APPENDIX II,Zygosicyos pubescens
APPENDIX II,Zygosicyos pubescens
APPENDIX II,Zygosicyos tripartitu
APPENDIX II,Widdringtonia whytei
APPENDIX II,Callitris whytei
APPENDIX II,Widdringtonia nodiflora subsp. whytei
APPENDIX II,Widdringtonia nodiflora var. whytei
APPENDIX II,Cyathea spp
APPENDIX II,"CYCADACEAE SPP. 
(Except the species included in Appendix I)"
APPENDIX II,Cibotium barometz
APPENDIX II,Aspidium barometz
APPENDIX II,Balantium glaucescens
APPENDIX II,Cibotium djambianum
APPENDIX II,Cibotium glaucescens
APPENDIX II,Cibotium glaucophyllum
APPENDIX II,Dicksonia assamica
APPENDIX II,Dicksonia barometz
APPENDIX II,Nephrodium barometz
APPENDIX II,Polypodium barometz
